103	96	a
97	92	a
102	91	a
94	81	a
99	100	a
86	97	a
95	105	a
96	100	a
100	103	a
95	100	a
97	119	a
104	104	a
99	93	a
90	98	a
98	104	a
100	92	a
106	99	a
97	96	a
106	98	a
101	101	a
90	97	a
96	99	a
101	109	a
100	94	a
95	93	a
96	86	a
105	99	a
102	98	a
93	104	a
104	93	a
98	109	a
99	108	a
103	110	a
98	109	a
86	102	a
91	97	a
101	111	a
99	102	a
109	104	a
92	94	a
98	100	a
101	95	a
92	105	a
108	105	a
102	103	a
108	106	a
102	102	a
86	101	a
97	99	a
92	105	a
102	102	a
90	103	a
103	98	a
100	93	a
97	96	a
100	104	a
103	110	a
106	93	a
97	99	a
97	98	a
97	113	a
103	95	a
107	98	a
104	119	a
107	106	a
107	103	a
94	100	a
107	90	a
111	102	a
105	95	a
107	105	a
91	89	a
102	108	a
97	102	a
102	105	a
107	109	a
98	99	a
105	92	a
94	98	a
100	106	a
102	101	a
104	91	a
97	96	a
96	100	a
109	96	a
102	98	a
92	93	a
102	101	a
95	79	a
105	97	a
107	100	a
97	105	a
93	100	a
105	91	a
97	100	a
96	96	a
95	94	a
91	92	a
101	97	a
98	111	a
104	105	a
100	97	a
98	102	a
90	103	a
95	99	a
101	95	a
99	91	a
108	103	a
90	99	a
99	102	a
101	92	a
93	99	a
101	94	a
107	96	a
95	93	a
94	91	a
90	103	a
103	93	a
87	96	a
97	87	a
112	106	a
105	90	a
96	92	a
103	100	a
93	101	a
102	102	a
107	96	a
108	102	a
98	89	a
100	96	a
103	99	a
103	108	a
99	107	a
98	97	a
96	105	a
91	98	a
99	102	a
94	97	a
98	107	a
109	99	a
100	103	a
109	94	a
92	91	a
116	90	a
92	95	a
97	98	a
105	100	a
102	93	a
99	111	a
97	93	a
93	99	a
97	91	a
94	98	a
97	100	a
92	103	a
106	102	a
112	102	a
95	101	a
103	109	a
89	97	a
102	98	a
103	96	a
89	94	a
83	96	a
93	103	a
107	99	a
96	104	a
101	82	a
100	107	a
101	101	a
97	104	a
99	92	a
99	93	a
114	90	a
90	100	a
98	106	a
105	102	a
102	84	a
97	97	a
108	103	a
92	93	a
97	100	a
108	94	a
103	91	a
103	101	a
100	91	a
93	103	a
110	111	a
108	85	a
99	100	a
106	103	a
97	102	a
98	98	a
105	104	a
92	97	a
111	83	a
81	102	a
97	92	a
90	85	a
99	101	a
166	242	b
170	233	b
162	228	b
166	249	b
162	240	b
165	245	b
146	240	b
161	233	b
157	235	b
158	237	b
173	233	b
156	238	b
161	246	b
156	244	b
162	241	b
179	248	b
154	238	b
172	235	b
154	234	b
155	246	b
163	247	b
154	237	b
152	242	b
164	232	b
149	237	b
175	237	b
162	233	b
159	239	b
164	250	b
171	245	b
159	242	b
164	243	b
163	233	b
166	237	b
162	252	b
159	240	b
168	231	b
156	244	b
166	245	b
178	247	b
157	246	b
165	223	b
164	235	b
160	233	b
161	240	b
171	247	b
172	233	b
165	239	b
159	242	b
150	238	b
162	246	b
162	241	b
159	233	b
168	250	b
163	240	b
163	240	b
158	232	b
152	237	b
158	231	b
156	249	b
158	256	b
168	225	b
155	235	b
155	233	b
161	242	b
163	234	b
155	235	b
163	243	b
167	248	b
166	239	b
157	240	b
158	239	b
155	245	b
160	243	b
158	242	b
157	245	b
170	249	b
159	248	b
159	241	b
162	254	b
152	231	b
156	236	b
165	236	b
162	243	b
156	234	b
167	248	b
160	236	b
162	235	b
161	250	b
155	246	b
152	242	b
160	249	b
149	242	b
160	239	b
162	239	b
163	244	b
149	253	b
164	256	b
155	239	b
162	255	b
163	236	b
166	236	b
151	239	b
168	235	b
159	242	b
159	248	b
158	242	b
162	238	b
158	232	b
159	237	b
159	229	b
163	242	b
164	235	b
176	246	b
171	242	b
159	231	b
156	227	b
170	239	b
157	253	b
162	237	b
170	238	b
153	228	b
157	238	b
160	237	b
162	244	b
169	242	b
156	241	b
173	234	b
160	239	b
166	240	b
161	248	b
158	244	b
160	238	b
165	234	b
170	236	b
169	237	b
154	240	b
154	230	b
169	239	b
163	254	b
150	238	b
161	241	b
169	239	b
159	242	b
158	229	b
156	248	b
156	234	b
159	241	b
163	227	b
157	241	b
163	240	b
166	249	b
153	240	b
165	238	b
163	249	b
161	232	b
170	252	b
153	235	b
163	232	b
156	248	b
149	245	b
162	245	b
167	247	b
162	239	b
167	245	b
156	236	b
163	239	b
155	241	b
157	256	b
148	236	b
164	247	b
172	228	b
165	244	b
165	248	b
162	234	b
157	246	b
157	233	b
157	249	b
172	246	b
156	246	b
162	232	b
156	236	b
160	239	b
154	243	b
159	240	b
166	243	b
167	233	b
169	245	b
162	233	b
167	236	b
164	252	b
150	242	b
154	246	b
156	248	b
157	234	b
155	239	b
156	249	b
157	244	b
171	256	b
159	225	b
158	233	b
159	252	b
158	235	b
165	249	b
159	235	b
154	235	b
163	238	b
159	234	b
159	236	b
152	231	b
168	241	b
160	246	b
152	239	b
169	246	b
157	246	b
163	237	b
164	233	b
156	234	b
172	242	b
164	235	b
162	234	b
168	242	b
162	239	b
148	242	b
161	235	b
166	262	b
165	240	b
162	243	b
146	239	b
165	234	b
160	243	b
164	232	b
165	246	b
166	250	b
149	239	b
166	238	b
162	241	b
152	238	b
157	236	b
154	239	b
162	241	b
162	234	b
152	232	b
175	248	b
157	236	b
158	239	b
158	234	b
150	240	b
161	250	b
157	237	b
160	229	b
171	245	b
170	238	b
154	232	b
162	252	b
159	235	b
165	234	b
161	247	b
157	239	b
161	238	b
168	236	b
165	236	b
156	233	b
155	233	b
159	238	b
168	239	b
164	241	b
163	243	b
154	243	b
152	241	b
168	246	b
160	235	b
161	237	b
160	247	b
161	244	b
157	242	b
156	246	b
169	242	b
169	250	b
163	234	b
159	237	b
163	231	b
164	236	b
169	239	b
152	248	b
162	233	b
160	238	b
163	238	b
162	239	b
156	244	b
153	240	b
146	244	b
151	241	b
158	241	b
166	238	b
158	245	b
163	239	b
176	255	b
163	248	b
162	233	b
236	167	c
245	161	c
249	156	c
248	158	c
243	150	c
243	147	c
250	155	c
240	159	c
237	180	c
243	162	c
238	152	c
243	160	c
230	170	c
257	163	c
236	157	c
243	155	c
238	147	c
245	154	c
229	158	c
231	147	c
250	164	c
232	169	c
238	164	c
241	169	c
237	154	c
242	154	c
246	159	c
241	166	c
250	170	c
234	167	c
240	154	c
237	165	c
243	151	c
230	153	c
231	166	c
238	161	c
233	157	c
235	159	c
239	159	c
230	158	c
244	174	c
243	165	c
235	161	c
231	164	c
239	145	c
240	169	c
236	155	c
248	162	c
243	151	c
228	167	c
249	162	c
240	164	c
231	160	c
233	161	c
260	155	c
248	161	c
243	158	c
229	156	c
238	161	c
240	169	c
233	157	c
242	162	c
238	162	c
240	163	c
242	164	c
232	157	c
231	160	c
238	154	c
241	166	c
242	160	c
237	150	c
250	152	c
247	159	c
240	162	c
254	166	c
242	164	c
236	169	c
247	151	c
240	164	c
237	155	c
252	157	c
234	164	c
241	163	c
253	162	c
243	168	c
243	158	c
240	147	c
242	164	c
249	148	c
239	160	c
236	165	c
240	156	c
237	163	c
240	162	c
243	161	c
242	150	c
239	162	c
248	164	c
238	154	c
239	168	c
241	165	c
231	164	c
236	166	c
233	147	c
233	157	c
249	157	c
229	168	c
247	165	c
241	162	c
233	167	c
241	158	c
243	152	c
232	148	c
254	157	c
243	174	c
240	167	c
248	160	c
237	159	c
247	159	c
238	163	c
251	159	c
237	152	c
252	159	c
241	163	c
242	161	c
257	158	c
246	155	c
238	159	c
231	160	c
230	163	c
247	153	c
240	152	c
239	162	c
241	167	c
249	158	c
239	177	c
243	154	c
233	154	c
238	166	c
234	165	c
237	153	c
239	161	c
237	162	c
236	160	c
243	163	c
246	166	c
236	157	c
249	160	c
245	163	c
242	151	c
253	159	c
242	161	c
236	161	c
248	157	c
248	159	c
238	159	c
238	162	c
247	166	c
241	158	c
231	154	c
246	158	c
240	157	c
237	165	c
238	165	c
239	157	c
246	164	c
230	156	c
245	157	c
248	164	c
237	169	c
244	150	c
236	167	c
243	160	c
232	158	c
253	153	c
243	156	c
239	162	c
229	162	c
248	157	c
243	154	c
247	175	c
241	161	c
226	154	c
250	158	c
240	151	c
245	159	c
234	173	c
247	155	c
249	171	c
246	158	c
245	169	c
239	173	c
244	167	c
242	161	c
242	167	c
238	173	c
244	168	c
235	155	c
222	163	c
242	160	c
#
